"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"FAM187A","PI5Z_8h","PI5Z","8h",1.35626384782098,1.77282794881891e-05
"FAM210B","PI5Z_24h","PI5Z","24h",1.02794946501418,1.55799605020744e-18
"FAM229A","PI5Z_4h","PI5Z","4h",1.40236944024382,1.57184030083268e-10
"FAM229A","PI5Z_8h","PI5Z","8h",1.2889304717267,6.23545006701183e-11
"FAM24B","PI5Z_24h","PI5Z","24h",-1.1058254123599,4.66451732591666e-06
"FAM41C","PI5Z_4h","PI5Z","4h",-2.35681241486559,0.00016229520178856
"FAM72A","PI5Z_24h","PI5Z","24h",-1.16299550637473,2.50764037416791e-08
"FAM72B","PI5Z_24h","PI5Z","24h",-1.54485469378205,3.40804143294077e-08
"FAM72D","PI5Z_24h","PI5Z","24h",-1.24067555523449,6.270936241815e-09
"FAM86FP","PI5Z_8h","PI5Z","8h",1.23904041098294,0.0171474222657795
"FAM89B","PI5Z_24h","PI5Z","24h",1.08610789253322,1.30735957891306e-06
"FAR2P1","PI5Z_4h","PI5Z","4h",1.1111251975448,0.0359769907597015
"FARSB","PI5Z_8h","PI5Z","8h",-1.03116202295485,1.08659830706145e-13
"FAXDC2","PI5Z_24h","PI5Z","24h",-1.29671301539748,0.000498319735402692
"FCGRT","PI5Z_24h","PI5Z","24h",1.34919070519893,2.20313122893748e-24
"FEN1","PI5Z_8h","PI5Z","8h",-1.10815749170768,1.64078963397209e-07
"FEN1","PI5Z_24h","PI5Z","24h",1.71761769296468,1.03182014804624e-12
"FGF7P6","PI5Z_24h","PI5Z","24h",-2.00295890689642,0.00748048428507419
"FGF9","PI5Z_2h","PI5Z","2h",1.15778263694368,0.000634180927133727
"FGF9","PI5Z_4h","PI5Z","4h",1.8114782006207,1.71852516423852e-08
"FGFR3","PI5Z_24h","PI5Z","24h",1.26297846166264,5.63215447863419e-15
"FKBP5","PI5Z_8h","PI5Z","8h",-1.4045699803553,2.51573930581151e-16
"FKBP7","PI5Z_24h","PI5Z","24h",1.01338493084466,0.000796134595157338
"FLAD1","PI5Z_8h","PI5Z","8h",-1.06268349663607,6.85954583798643e-17
"FLJ37453","PI5Z_8h","PI5Z","8h",1.03284853576167,8.04717880051607e-06
"FLVCR2","PI5Z_24h","PI5Z","24h",1.07528360189618,8.63167400694129e-09
"FMC1","PI5Z_8h","PI5Z","8h",1.0522849732946,0.000278182115974344
"FMO4","PI5Z_8h","PI5Z","8h",1.08360084184165,5.31792809329984e-07
"FMOD","PI5Z_8h","PI5Z","8h",1.05718445006971,5.92290186967963e-09
"FNBP1P1","PI5Z_4h","PI5Z","4h",1.08242367815666,0.00255459298593084
"FNIP1","PI5Z_4h","PI5Z","4h",1.44978336798149,1.04164489907592e-17
"FNIP2","PI5Z_8h","PI5Z","8h",-1.05212432262027,6.56375185901258e-09
"FOXD2","PI5Z_24h","PI5Z","24h",1.23597409055253,9.05135460770816e-08
"FOXN3","PI5Z_4h","PI5Z","4h",1.31896213224933,4.93147947039177e-16
"FOXN3","PI5Z_8h","PI5Z","8h",1.09397372381196,1.26856201261469e-13
"FOXP1","PI5Z_4h","PI5Z","4h",1.02655489368724,1.20438199218729e-11
"FRA10AC1","PI5Z_24h","PI5Z","24h",-1.18170245984538,2.50002788839572e-11
"FRG1HP","PI5Z_4h","PI5Z","4h",1.02668626349032,1.01543481589566e-05
"FSCN1","PI5Z_8h","PI5Z","8h",-1.90377322062805,5.07000006925728e-15
